time,disp
0.6,-0.567800436
0.60005,0.106534704
0.6001,-0.200870964
0.60015,-0.642967986
0.6002,-1.040444443
0.60025,-1.368729015
0.6003,-1.211255393
0.60035,0.951596248
0.6004,2.186496376
0.60045,1.101852777
0.6005,0.454264717
0.60055,-0.217750487
0.6006,-0.939665299
0.60065,-0.958858427
0.6007,0.435770443
0.60075,0.882906637
0.6008,0.354737684
0.60085,-0.014970197
0.6009,-1.170152394
0.60095,-1.332465063
0.601,-0.840641599
0.60105,0.153850029
0.6011,1.243298526
0.60115,1.638835289
0.6012,1.63123574
0.60125,0.844429391
0.6013,0.1081539
0.60135,-0.17858648
0.6014,-0.916677714
0.60145,-1.988880435
0.6015,-1.54363733
0.60155,0.007057822
0.6016,0.710428618
0.60165,1.693413301
0.6017,1.860344102
0.60175,0.168966914
0.6018,-0.496952289
0.60185,-1.173258643
0.6019,-1.519973413
0.60195,-0.510909998
0.602,0.714684878
0.60205,0.973144743
0.6021,0.310396872
0.60215,0.167902736
0.6022,-1.10290916
0.60225,-0.906486593
0.6023,-0.243403855
0.60235,-0.31949428
0.6024,1.333414638
0.60245,1.232977414
0.6025,0.853240731
0.60255,1.063330104
0.6026,0.041376763
0.60265,-1.590115214
0.6027,-2.107598958
0.60275,-0.958196433
0.6028,-0.471951363
0.60285,0.679923837
0.6029,1.070244571
0.60295,0.464840665
0.603,0.690384123
0.60305,-0.34457817
0.6031,-0.544893277
0.60315,-0.041960987
0.6032,-0.259530311
0.60325,-0.603419766
0.6033,-0.394683192
0.60335,0.122194194
0.6034,-0.808795609
0.60345,-0.089240828
0.6035,0.705720261
0.60355,0.123872393
0.6036,0.797454176
0.60365,-0.099668276
0.6037,-0.767146612
0.60375,0.374602801
0.6038,0.356180746
0.60385,0.027387796
0.6039,-0.059864111
0.60395,-0.994594244
0.604,-1.69810653
0.60405,-0.385364613
0.6041,1.162380322
0.60415,1.461962476
0.6042,1.760500625
0.60425,1.205909317
0.6043,0.091664839
0.60435,-0.633373727
0.6044,-1.126380592
0.60445,-1.104098108
0.6045,-0.665650889
0.60455,0.88817363
0.6046,0.99570522
0.60465,0.506482631
0.6047,0.889727364
0.60475,-0.086882709
0.6048,0.347605966
0.60485,-0.428620491
0.6049,-1.304997542
0.60495,0.864130081
0.605,1.052725227
0.60505,0.723472753
0.6051,0.569152587
0.60515,-0.409232978
0.6052,-1.51157494
0.60525,-1.567660965
0.6053,-0.246139755
0.60535,0.639305646
0.6054,1.675744193
0.60545,1.098120219
0.6055,-0.111468712
0.60555,0.026987246
0.6056,-0.597226139
0.60565,-1.255437357
0.6057,-0.910423696
